gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YBL003C	13535.2039126216	-4.00982411434683	0.149015480078213	-26.9087755999727	1.73378607885634e-159	8.91166044532158e-157
YBR040W	4746.17422798067	10.1112470747692	0.418285231524417	24.1730912610022	4.26981682156392e-129	1.09734292314193e-126
YBR009C	9996.82120020369	-3.07012183176202	0.156353248381818	-19.6358045869614	7.64601119771965e-86	1.3100165852093e-83
YBR054W	9158.81950712217	-3.21182615590557	0.166362466629579	-19.3061946061247	4.76408322379197e-83	6.12184694257268e-81
YBR093C	1094.91418172903	-3.80260807563312	0.207103124703697	-18.3609401406836	2.6989397812985e-75	2.77451009517486e-73
YBR010W	6307.59845224035	-3.02988847341536	0.167166880792985	-18.1249327560732	2.02590607693875e-73	1.73552620591087e-71
YBL016W	4632.25063536098	3.48996066354153	0.209820413781762	16.6330844584621	4.01388220291305e-62	2.94733636042473e-60
YBL002W	3649.37709323458	-2.7246207277961	0.168477038576212	-16.1720597110543	7.93988464334344e-59	5.10137588334816e-57
YBR083W	1082.67666505214	3.20150836749549	0.212555037602726	15.0620206587587	2.87852633021736e-51	1.64395837081303e-49
YBR023C	3804.1846654743	2.10381535696154	0.151804152247875	13.8587471146791	1.12622887844769e-43	5.78881643522114e-42
YAL061W	1836.19613527273	-2.09513140688828	0.167517900953623	-12.5069105746992	6.84344156007786e-36	3.19775360170911e-34
YBL042C	1847.07280347713	2.15226723673464	0.184867780566987	11.6421976297528	2.5145176613678e-31	1.07705173161921e-29
YBR158W	3831.85787439957	1.81541633071952	0.158252307563456	11.4716578776684	1.83117002235627e-30	7.24016454993173e-29
YAL015C	139.183235988491	-4.01639565571295	0.355916702735968	-11.2846506635921	1.56261126692805e-29	5.73701565143585e-28
YBR038W	749.772347673899	-2.37499226840743	0.214020891422933	-11.097011383408	1.29708912404204e-28	4.44469206505073e-27
YBL061C	994.550201713465	1.90733362931024	0.173903997098844	10.9677388739153	5.46212570949851e-28	1.7547078841764e-26
YBR066C	1344.22706338962	2.21329544635108	0.204604061126976	10.8174560864534	2.84566421075359e-27	8.60394943721967e-26
YBL039W-B	986.964818029625	1.85852479826583	0.174359200920467	10.6591724925007	1.5799694050485e-26	4.51169041219404e-25
YBR175W	138.613483014693	-3.66611600328622	0.346088143380513	-10.5930124258994	3.21089264625717e-26	8.68630957987465e-25
YBR223C	1005.09204478652	1.98373920175285	0.194493906401188	10.199492819384	1.99310574699157e-24	5.12228176976833e-23
YBR071W	688.821915163086	-13.1776630786008	1.45440294842793	-9.06053105354646	1.29816968434093e-19	3.17742484643445e-18
YBR004C	356.177624481454	-12.2250940402094	1.46252631784427	-8.35888824088234	6.33120517540603e-17	1.47919975461759e-15
YBR255W	328.734269373783	-12.1102520391975	1.45833875692574	-8.30414194348544	1.00543386728959e-16	2.24692612081238e-15
YBR207W	359.232739354117	-1.70408668486654	0.214504227936474	-7.94430348184657	1.95284953291238e-15	4.18235274965401e-14
YBR101C	2827.71074969532	1.57233045357141	0.200193104915775	7.85406897122116	4.02752620786626e-15	8.28059388337303e-14
YBR230W-A	1933.09097985625	1.28301679741665	0.167918395832396	7.64071614105498	2.16016833732228e-14	4.27048663609097e-13
YBR053C	4447.48258660238	1.14762228596446	0.152573327576637	7.5217752944925	5.40374008953466e-14	1.02871200222993e-12
YBR238C	1810.1589489034	-1.20724765122803	0.162399370913433	-7.43381975211936	1.05505716644899e-13	1.93678351269564e-12
YBR070C	430.422276394456	-1.48223545810529	0.20236276055279	-7.3246453747532	2.39531276062484e-13	4.24548537572817e-12
YBR208C	2863.86243663701	1.44873725483202	0.199025015643718	7.27917166666856	3.35876061877369e-13	5.75467652683226e-12
YAR014C	2039.06801265401	1.15633655637115	0.159446472368727	7.25219278415311	4.1007762444064e-13	6.79935157943513e-12
YAL049C	1234.91710972372	1.17314687901002	0.165387903098072	7.09330523596015	1.30946197944033e-12	2.10332330447603e-11
YBR076C-A	96.4369187857418	-10.3412290022279	1.47641733640274	-7.0042722658785	2.4827289681384e-12	3.86703845340344e-11
YAL062W	562.169522633529	-1.30788432798207	0.193016039038872	-6.77603962082482	1.23514819513745e-11	1.86725344794309e-10
YBR191W-A	869.784170757572	1.22242347154832	0.18103969803759	6.75223989433798	1.45579900595715e-11	2.13794482589136e-10
YBR098W	103.334077949729	9.83840401226846	1.47519731666027	6.66921224785158	2.57180092738882e-11	3.67196021299403e-10
YBL071W-A	857.612871057665	1.23055131058671	0.186092909565058	6.61256419421242	3.77719229148103e-11	5.24723469681418e-10
YAL044W-A	5192.41083848568	1.02981052871804	0.157998123644187	6.51786556046181	7.13148634213782e-11	9.64627363120747e-10
YAR027W	1846.37780531538	1.06463506753359	0.167648659636811	6.35039415071959	2.14763943210153e-10	2.83047863615432e-09
YBR258C	1202.82175520068	1.00509750591773	0.166280953687271	6.04457385906054	1.49805416842551e-09	1.92499960642678e-08
YAL005C	68563.7720818355	1.08783176661525	0.180350656192988	6.03175940458567	1.62184121714559e-09	2.03323508686057e-08
YBL017C	4459.29602626413	1.00548332112352	0.16777233334063	5.99314142625692	2.05825702270103e-09	2.51891454682935e-08
YBR184W	59.4471474859464	-2.64501608606675	0.447890233607443	-5.90550069547843	3.51577303343667e-09	4.20257520741034e-08
YAL039C	2273.25188865353	1.18895071695582	0.202260527026421	5.87831315598473	4.14468276557844e-09	4.84174304888027e-08
YBR137W	2781.59479912103	0.888593858363904	0.152611325331338	5.82259446626689	5.79410296489324e-09	6.61815316434472e-08
